"sctype_classification","n_cells"
"CD8+ NKT-like cells",768
"Erythroid-like and erythroid precursor cells",24
"HSC/MPP cells",728
"Memory CD4+ T cells",148
"Neutrophils",90
"Progenitor cells",709
"Unknown",1143
