"sctype_classification","n_cells"
"Basophils",239
"CD8+ NKT-like cells",223
"Classical Monocytes",2373
"Erythroid-like and erythroid precursor cells",358
"Myeloid Dendritic cells",209
"Neutrophils",173
"Plasmacytoid Dendritic cells",71
"Pro-B cells",2031
