block_id,cell_line_id,drug1_original,drug1_id,drug1_match_source,drug2_original,drug2_id,drug2_match_source,synergy_loewe,synergy_bliss,synergy_zip,synergy_hsa,source_study,A_d1,A_d2,target_combo_auc
137083,HL-60,CYTARABINE HYDROCHLORIDE,Cytarabine,exact,Sunitinib,Sunitinib,exact,-19.858754680421,1.8513667231858,-6.34348294196212,-8.01049995111111,ALMANAC,165.6033172607422,166.6292724609375,146.25754018041886
140954,HL-60,Imatinib,Imatinib,exact,Dasatinib,Dasatinib,exact,-19.5247568612251,-2.56709495482937,6.47947698336126,-17.7288865,ALMANAC,196.768798828125,136.0251922607422,146.87223868320848
143461,HL-60,Imatinib,Imatinib,exact,Lapatinib,Lapatinib,exact,-14.6723551325408,0.309098444955621,9.48054706201022,-17.0111094807573,ALMANAC,196.768798828125,192.39686584472656,179.910477203885
146460,HL-60,Nilotinib,Nilotinib,exact,Sunitinib,Sunitinib,exact,-20.7864975774662,3.35049135427649,10.5776601479691,-19.377776147424,ALMANAC,188.7276611328125,166.6292724609375,156.8919692194088
149118,HL-60,Dasatinib,Dasatinib,exact,Lapatinib,Lapatinib,exact,-0.892330642405586,3.16288929544426,2.4290264710367,-1.55802242757761,ALMANAC,136.0251922607422,192.39686584472656,163.31869841032878
158703,HL-60,Imatinib,Imatinib,exact,Sunitinib,Sunitinib,exact,-27.6580745523818,2.00350247050207,12.9659410215788,-25.5899983696462,ALMANAC,196.768798828125,166.6292724609375,154.04096109214944
163254,HL-60,Imatinib,Imatinib,exact,Nilotinib,Nilotinib,exact,-14.0331641290085,0.508373113275236,10.430943512816,-17.5611093777778,ALMANAC,196.768798828125,188.7276611328125,178.71506585146025
167543,HL-60,"Azacytidine, 5-",Azacytidine,fuzzy,Dasatinib,Dasatinib,exact,0.24687588281462,-0.729936276850329,-1.20951395885234,0.467558888888888,ALMANAC,202.7279052734375,136.0251922607422,169.62342464990445
168863,HL-60,Sunitinib,Sunitinib,exact,Bortezomib,Bortezomib (Velcade),exact,-18.0141744012688,-1.15421213107403,-0.244356461408432,-1.94768333333333,ALMANAC,166.6292724609375,120.50607299804688,125.55349832822338
168996,HL-60,CYTARABINE HYDROCHLORIDE,Cytarabine,exact,Lapatinib,Lapatinib,exact,-24.2173962536328,-0.503228199495567,2.24425901561895,-4.04603117777778,ALMANAC,165.6033172607422,192.39686584472656,154.7826952991016
173455,HL-60,CYTARABINE HYDROCHLORIDE,Cytarabine,exact,Nilotinib,Nilotinib,exact,-19.5937544245945,4.57287834616412,-0.71650549508048,-11.8460556222222,ALMANAC,165.6033172607422,188.7276611328125,157.57173477218285
176131,HL-60,Lapatinib,Lapatinib,exact,Bortezomib,Bortezomib (Velcade),exact,-47.1932004453528,1.13765942738248,2.28095302689581,-2.35333161111111,ALMANAC,192.39686584472656,120.50607299804688,109.25826897603392
185890,HL-60,Lapatinib,Lapatinib,exact,Sunitinib,Sunitinib,exact,-15.189938434867,3.51978421861958,5.56032213396851,-13.2199980933333,ALMANAC,192.39686584472656,166.6292724609375,164.32313071796503
192576,HL-60,Imatinib,Imatinib,exact,Erlotinib hydrochloride,Erlotinib,exact,-5.66837345411774,-0.563257560010911,1.25047850890455,-6.09336148777778,ALMANAC,196.768798828125,193.59735107421875,189.51470149705415
195437,HL-60,"Azacytidine, 5-",Azacytidine,fuzzy,Bortezomib,Bortezomib (Velcade),exact,-6.4287918574947,-1.51426699556668,-0.915999456211035,-0.580212709999999,ALMANAC,202.7279052734375,120.50607299804688,155.1881972782475
204801,HL-60,Lenalidomide,Lenalidomide,exact,Dasatinib,Dasatinib,exact,-2.41643591455043,0.0730053161600568,-3.23523089503277,-2.08310644444444,ALMANAC,213.66680908203125,136.0251922607422,172.4295647568363
207698,HL-60,Lapatinib,Lapatinib,exact,Erlotinib hydrochloride,Erlotinib,exact,-1.79318540622987,-1.58171923579027,0.54508919790365,-2.56669442222222,ALMANAC,192.39686584472656,193.59735107421875,191.2039230532428
210206,HL-60,Erlotinib hydrochloride,Erlotinib,exact,Bortezomib,Bortezomib (Velcade),exact,-33.4358305655905,-6.16385694303044,-7.20900610492397,0.491274444444443,ALMANAC,193.59735107421875,120.50607299804688,123.61588147054232
214135,HL-60,CYTARABINE HYDROCHLORIDE,Cytarabine,exact,Dasatinib,Dasatinib,exact,-2.81661883297432,-1.05929986567508,-0.781266671536351,0.155338888888891,ALMANAC,165.6033172607422,136.0251922607422,147.99763592776787
222168,HL-60,Nilotinib,Nilotinib,exact,Erlotinib hydrochloride,Erlotinib,exact,-6.84347918724108,-1.33243766484583,0.674271553090737,-6.32666534444444,ALMANAC,188.7276611328125,193.59735107421875,184.31902691627454
235676,HL-60,Nilotinib,Nilotinib,exact,"Azacytidine, 5-",Azacytidine,fuzzy,-10.4550591704099,-1.19961167218755,0.0583090708857463,-1.11098002115909,ALMANAC,188.7276611328125,202.7279052734375,185.2727240327151
240007,HL-60,"Azacytidine, 5-",Azacytidine,fuzzy,Erlotinib hydrochloride,Erlotinib,exact,-13.6937895509388,2.44835947382688,-1.12826837307882,4.14644854803013,ALMANAC,202.7279052734375,193.59735107421875,184.46883862288934
240466,HL-60,Nilotinib,Nilotinib,exact,Bortezomib,Bortezomib (Velcade),exact,-28.0187693145399,2.32297765524552,3.12511466906132,-2.82773257653204,ALMANAC,188.7276611328125,120.50607299804688,126.59809775088979
